beginDate,stage,price
2000-10-01,Paddy,277.1666666666667
2000-10-08,Paddy,278.8866666666667
2000-10-15,Paddy,277.595
2000-10-22,Paddy,282.76
2000-10-29,Paddy,288.57
2000-11-05,,
2000-11-12,Paddy,289.21500000000003
2000-11-19,Paddy,289.21500000000003
2000-11-26,Paddy,292.445
2000-12-03,Paddy,295.6725
2000-12-10,Paddy,297.6075
2000-12-17,Paddy,297.6075
2000-12-24,Paddy,297.6075
2000-12-31,,
2001-01-07,Paddy,297.6075
2001-01-14,Paddy,300.84000000000003
2001-01-21,Paddy,301.485
2001-01-28,Paddy,303.42
2001-02-04,Paddy,303.42
2001-02-11,Paddy,306.64750000000004
2001-02-18,Paddy,306.64750000000004
2001-02-25,Paddy,306.64750000000004
2001-03-04,Paddy,307.94
2001-03-11,Paddy,309.8775
2001-03-18,Paddy,313.7475
2001-03-25,Paddy,313.7475
2001-04-01,Paddy,314.3925
2001-04-08,Paddy,321.92333333333335
2001-04-15,,
2001-04-22,Paddy,321.92333333333335
2001-04-29,Paddy,321.92333333333335
2001-05-06,Paddy,321.92333333333335
2001-05-13,Paddy,321.92333333333335
2001-05-20,Paddy,321.92333333333335
2001-05-27,,
2001-06-03,Paddy,321.92333333333335
2001-06-10,Paddy,320.2033333333333
2001-06-17,Paddy,320.2033333333333
2001-06-24,,
2001-07-01,,
2001-07-08,,
2001-07-15,,
2001-07-22,,
2001-07-29,,
2001-08-05,,
2001-08-12,,
2001-08-19,,
2001-08-26,,
2001-09-02,,
2001-09-09,,
2001-09-16,,
2001-09-23,Paddy,286.63
2001-09-30,Paddy,286.63
2001-10-07,Paddy,281.46666666666664
2001-10-14,Paddy,281.46666666666664
2001-10-21,Paddy,281.46666666666664
2001-10-28,Paddy,281.98333333333335
2001-11-04,,
2001-11-11,Paddy,285.43
2001-11-18,Paddy,289.72999999999996
2001-11-25,Paddy,292.31333333333333
2001-12-02,Paddy,294.0333333333333
2001-12-09,Paddy,294.0333333333333
2001-12-16,Paddy,295.75333333333333
2001-12-23,Paddy,299.2033333333333
2001-12-30,,
2002-01-06,,
2002-01-13,Paddy,303.6666666666667
2002-01-20,Paddy,303.6666666666667
2002-01-27,Paddy,305.3333333333333
2002-02-03,Paddy,305.3333333333333
2002-02-10,Paddy,305.3333333333333
2002-02-17,Paddy,305.3333333333333
2002-02-24,Paddy,305.3333333333333
2002-03-03,Paddy,305.3333333333333
2002-03-10,Paddy,305.3333333333333
2002-03-17,Paddy,305.3333333333333
2002-03-24,Paddy,305.3333333333333
2002-03-31,Paddy,305.3333333333333
2002-04-07,Paddy,307.0
2002-04-14,Paddy,307.0
2002-04-21,Paddy,307.0
2002-04-28,Paddy,308.3333333333333
2002-05-05,,
2002-05-12,Paddy,308.3333333333333
2002-05-19,Paddy,308.3333333333333
2002-05-26,Paddy,308.3333333333333
2002-06-02,Paddy,308.3333333333333
2002-06-09,Paddy,308.3333333333333
2002-06-16,Paddy,308.3333333333333
2002-06-23,Paddy,310.0
2002-06-30,Paddy,310.0
2002-07-07,Paddy,300.0
2002-07-14,,
2002-07-21,,
2002-07-28,,
2002-08-04,,
2002-08-11,,
2002-08-18,,
2002-08-25,,
2002-09-01,,
2002-09-08,,
2002-09-15,,
2002-09-22,,
2002-09-29,,
2002-10-06,Paddy,273.0
2002-10-13,Paddy,271.3333333333333
2002-10-20,Paddy,271.75
2002-10-27,Paddy,271.75
2002-11-03,Paddy,276.75
2002-11-10,Paddy,280.5
2002-11-17,Paddy,283.0
2002-11-24,Paddy,283.0
2002-12-01,Paddy,283.0
2002-12-08,Paddy,283.0
2002-12-15,Paddy,283.0
2002-12-22,Paddy,283.0
2002-12-29,Paddy,283.0
2003-01-05,Paddy,283.0
2003-01-12,Paddy,283.0
2003-01-19,Paddy,283.0
2003-01-26,Paddy,283.0
2003-02-02,Paddy,283.0
2003-02-09,Paddy,283.0
2003-02-16,Paddy,283.0
2003-02-23,Paddy,283.0
2003-03-02,Paddy,283.0
2003-03-09,Paddy,280.75
2003-03-16,Paddy,280.75
2003-03-23,Paddy,282.0
2003-03-30,Paddy,282.5
2003-04-06,Paddy,283.25
2003-04-13,Paddy,283.25
2003-04-20,Paddy,284.0
2003-04-27,Paddy,284.0
2003-05-04,Paddy,284.0
2003-05-11,Paddy,284.0
2003-05-18,Paddy,284.0
2003-05-25,Paddy,284.0
2003-06-01,,
2003-06-08,Paddy,281.25
2003-06-15,Paddy,279.75
2003-06-22,Paddy,279.75
2003-06-29,Paddy,279.75
2003-07-06,Paddy,278.6666666666667
2003-07-13,Paddy,282.0
2003-07-20,,
2003-07-27,,
2003-08-03,,
2003-08-10,,
2003-08-17,,
2003-08-24,,
2003-08-31,,
2003-09-07,,
2003-09-14,,
2003-09-21,,
2003-09-28,Paddy,264.5
2003-10-05,Paddy,264.5
2003-10-12,Paddy,263.0
2003-10-19,Paddy,263.0
2003-10-26,Paddy,263.75
2003-11-02,Paddy,265.75
2003-11-09,Paddy,265.75
2003-11-16,Paddy,265.75
2003-11-23,Paddy,265.75
2003-11-30,Paddy,265.75
2003-12-07,Paddy,264.5
2003-12-14,Paddy,265.0
2003-12-21,Paddy,265.0
2003-12-28,Paddy,265.0
2004-01-04,Paddy,265.0
2004-01-11,,
2004-01-18,Paddy,265.0
2004-01-25,Paddy,265.0
2004-02-01,Paddy,265.0
2004-02-08,Paddy,267.75
2004-02-15,Paddy,267.75
2004-02-22,Paddy,267.75
2004-02-29,Paddy,267.75
2004-03-07,Paddy,264.0
2004-03-14,Paddy,261.5
2004-03-21,Paddy,260.25
2004-03-28,Paddy,259.25
2004-04-04,Paddy,259.25
2004-04-11,Paddy,260.5
2004-04-18,Paddy,260.5
2004-04-25,Paddy,260.5
2004-05-02,Paddy,260.5
2004-05-09,Paddy,260.5
2004-05-16,Paddy,260.5
2004-05-23,Paddy,260.5
2004-05-30,Paddy,260.5
2004-06-06,,
2004-06-13,Paddy,274.0
2004-06-20,Paddy,281.0
2004-06-27,Paddy,281.0
2004-07-04,,
2004-07-11,,
2004-07-18,,
2004-07-25,Paddy,303.75
2004-08-01,,
2004-08-08,,
2004-08-15,,
2004-08-22,,
2004-08-29,,
2004-09-05,,
2004-09-12,,
2004-09-19,,
2004-09-26,,
2004-10-03,Paddy,175.0
2004-10-10,Paddy,175.0
2004-10-17,Paddy,175.0
2004-10-24,Paddy,171.5
2004-10-31,Paddy,171.5
2004-11-07,Paddy,178.5
2004-11-14,Paddy,178.5
2004-11-21,Paddy,179.0
2004-11-28,Paddy,179.0
2004-12-05,Paddy,179.0
2004-12-12,Paddy,179.0
2004-12-19,Paddy,179.0
2004-12-26,Paddy,179.0
2005-01-02,Paddy,179.0
2005-01-09,Paddy,179.0
2005-01-16,Paddy,179.0
2005-01-23,,
2005-01-30,Paddy,179.0
2005-02-06,Paddy,176.5
2005-02-13,Paddy,176.5
2005-02-20,Paddy,176.5
2005-02-27,Paddy,176.0
2005-03-06,Paddy,177.25
2005-03-13,Paddy,177.25
2005-03-20,Paddy,177.25
2005-03-27,Paddy,179.0
2005-04-03,Paddy,180.5
2005-04-10,Paddy,182.0
2005-04-17,Paddy,182.0
2005-04-24,Paddy,184.0
2005-05-01,Paddy,184.0
2005-05-08,Paddy,188.0
2005-05-15,Paddy,188.0
2005-05-22,Paddy,188.0
2005-05-29,Paddy,190.0
2005-06-05,Paddy,190.0
2005-06-12,Paddy,190.0
2005-06-19,Paddy,190.0
2005-06-26,Paddy,190.0
2005-07-03,,
2005-07-10,,
2005-07-17,,
2005-07-24,,
2005-07-31,,
2005-08-07,,
2005-08-14,,
2005-08-21,,
2005-08-28,,
2005-09-04,,
2005-09-11,,
2005-09-18,,
2005-09-25,,
2005-10-02,,
2005-10-09,Paddy,182.5
2005-10-16,Paddy,185.66666666666666
2005-10-23,Paddy,185.25
2005-10-30,Paddy,185.25
2005-11-06,,
2005-11-13,Paddy,192.0
2005-11-20,Paddy,196.5
2005-11-27,Paddy,196.5
2005-12-04,Paddy,199.0
2005-12-11,Paddy,203.0
2005-12-18,Paddy,205.0
2005-12-25,Paddy,205.0
2006-01-01,Paddy,212.5
2006-01-08,Paddy,215.0
2006-01-15,Paddy,217.5
2006-01-22,Paddy,225.0
2006-01-29,Paddy,236.25
2006-02-05,Paddy,238.75
2006-02-12,Paddy,241.25
2006-02-19,Paddy,246.25
2006-02-26,Paddy,251.25
2006-03-05,Paddy,251.25
2006-03-12,Paddy,251.25
2006-03-19,Paddy,251.25
2006-03-26,Paddy,257.5
2006-04-02,Paddy,257.5
2006-04-09,Paddy,257.5
2006-04-16,Paddy,257.5
2006-04-23,Paddy,262.5
2006-04-30,Paddy,262.5
2006-05-07,Paddy,263.75
2006-05-14,Paddy,267.5
2006-05-21,Paddy,278.75
2006-05-28,,
2006-06-04,,
2006-06-11,,
2006-06-18,,
2006-06-25,,
2006-07-02,,
2006-07-09,,
2006-07-16,,
2006-07-23,,
2006-07-30,,
2006-08-06,,
2006-08-13,,
2006-08-20,,
2006-08-27,,
2006-09-03,,
2006-09-10,,
2006-09-17,,
2006-09-24,,
2006-10-01,,
2006-10-08,,
2006-10-15,Paddy,240.5
2006-10-22,Paddy,240.5
2006-10-29,Paddy,267.5
2006-11-05,Paddy,276.0
2006-11-12,Paddy,276.0
2006-11-19,Paddy,276.0
2006-11-26,Paddy,276.0
2006-12-03,Paddy,276.0
2006-12-10,Paddy,276.0
2006-12-17,Paddy,283.5
2006-12-24,Paddy,283.5
2006-12-31,Paddy,283.5
2007-01-07,Paddy,283.5
2007-01-14,Paddy,283.5
2007-01-21,Paddy,288.5
2007-01-28,Paddy,288.5
2007-02-04,Paddy,288.5
2007-02-11,Paddy,288.5
2007-02-18,Paddy,286.0
2007-02-25,Paddy,283.5
2007-03-04,Paddy,281.25
2007-03-11,,
2007-03-18,Paddy,276.25
2007-03-25,Paddy,265.0
2007-04-01,Paddy,261.25
2007-04-08,Paddy,261.25
2007-04-15,Paddy,261.25
2007-04-22,Paddy,261.25
2007-04-29,Paddy,264.25
2007-05-06,Paddy,264.25
2007-05-13,Paddy,264.25
2007-05-20,Paddy,268.0
2007-05-27,Paddy,268.0
2007-06-03,Paddy,268.0
2007-06-10,Paddy,265.0
2007-06-17,Paddy,258.75
2007-06-24,Paddy,255.0
2007-07-01,Paddy,255.0
2007-07-08,Paddy,255.0
2007-07-15,Paddy,253.33333333333334
2007-07-22,Paddy,253.33333333333334
2007-07-29,Paddy,255.0
2007-08-05,,
2007-08-12,,
2007-08-19,,
2007-08-26,,
2007-09-02,,
2007-09-09,,
2007-09-16,,
2007-09-23,,
2007-09-30,,
2007-10-07,Paddy,272.25
2007-10-14,Paddy,276.25
2007-10-21,Paddy,279.5
2007-10-28,Paddy,283.25
2007-11-04,Paddy,285.75
2007-11-11,Paddy,285.75
2007-11-18,Paddy,285.75
2007-11-25,Paddy,285.75
2007-12-02,Paddy,292.5
2007-12-09,Paddy,294.5
2007-12-16,Paddy,294.5
2007-12-23,Paddy,294.5
2007-12-30,Paddy,294.5
2008-01-06,Paddy,294.5
2008-01-13,Paddy,294.5
2008-01-20,Paddy,298.75
2008-01-27,Paddy,301.25
2008-02-03,Paddy,303.75
2008-02-10,Paddy,306.25
2008-02-17,Paddy,310.5
2008-02-24,Paddy,313.5
2008-03-02,Paddy,323.75
2008-03-09,Paddy,332.25
2008-03-16,Paddy,334.0
2008-03-23,Paddy,338.25
2008-03-30,Paddy,350.75
2008-04-06,Paddy,365.75
2008-04-13,Paddy,375.75
2008-04-20,Paddy,382.5
2008-04-27,Paddy,431.25
2008-05-04,Paddy,456.25
2008-05-11,Paddy,467.5
2008-05-18,Paddy,472.5
2008-05-25,Paddy,480.0
2008-06-01,,
2008-06-08,,
2008-06-15,,
2008-06-22,,
2008-06-29,,
2008-07-06,,
2008-07-13,,
2008-07-20,,
2008-07-27,,
2008-08-03,,
2008-08-10,,
2008-08-17,,
2008-08-24,,
2008-08-31,,
2008-09-07,,
2008-09-14,,
2008-09-21,,
2008-09-28,,
2008-10-05,Paddy,498.3333333333333
2008-10-12,Paddy,470.0
2008-10-19,Paddy,470.0
2008-10-26,Paddy,470.0
2008-11-02,Paddy,438.75
2008-11-09,Paddy,438.75
2008-11-16,Paddy,420.5
2008-11-23,Paddy,420.5
2008-11-30,Paddy,420.5
2008-12-07,Paddy,420.5
2008-12-14,Paddy,408.75
2008-12-21,Paddy,421.25
2008-12-28,Paddy,421.25
2009-01-04,Paddy,421.25
2009-01-11,Paddy,421.25
2009-01-18,Paddy,435.0
2009-01-25,Paddy,458.75
2009-02-01,Paddy,471.25
2009-02-08,Paddy,471.25
2009-02-15,Paddy,473.75
2009-02-22,Paddy,483.75
2009-03-01,Paddy,483.75
2009-03-08,Paddy,481.25
2009-03-15,Paddy,481.25
2009-03-22,Paddy,481.25
2009-03-29,Paddy,473.75
2009-04-05,Paddy,460.0
2009-04-12,Paddy,450.0
2009-04-19,Paddy,450.0
2009-04-26,Paddy,450.0
2009-05-03,Paddy,450.0
2009-05-10,Paddy,442.5
2009-05-17,Paddy,442.5
2009-05-24,Paddy,438.75
2009-05-31,Paddy,428.75
2009-06-07,Paddy,428.75
2009-06-14,Paddy,415.0
2009-06-21,Paddy,363.3333333333333
2009-06-28,Paddy,350.0
2009-07-05,Paddy,330.0
2009-07-12,Paddy,330.0
2009-07-19,Paddy,338.3333333333333
2009-07-26,Paddy,340.0
2009-08-02,Paddy,340.0
2009-08-09,Paddy,340.0
2009-08-16,Paddy,340.0
2009-08-23,Paddy,340.0
2009-08-30,Paddy,312.5
2009-09-06,,
2009-09-13,,
2009-09-20,,
2009-09-27,,
2009-10-04,Paddy,271.6666666666667
2009-10-11,Paddy,290.0
2009-10-18,Paddy,290.0
2009-10-25,Paddy,310.0
2009-11-01,Paddy,310.0
2009-11-08,Paddy,310.0
2009-11-15,Paddy,310.0
2009-11-22,Paddy,310.0
2009-11-29,Paddy,310.0
2009-12-06,Paddy,305.0
2009-12-13,,
2009-12-20,Paddy,305.0
2009-12-27,Paddy,305.0
2010-01-03,Paddy,305.0
2010-01-10,Paddy,306.25
2010-01-17,Paddy,306.25
2010-01-24,Paddy,305.0
2010-01-31,Paddy,302.5
2010-02-07,Paddy,300.0
2010-02-14,Paddy,293.75
2010-02-21,Paddy,291.25
2010-02-28,Paddy,291.25
2010-03-07,Paddy,290.0
2010-03-14,Paddy,281.25
2010-03-21,Paddy,273.75
2010-03-28,Paddy,262.5
2010-04-04,Paddy,262.5
2010-04-11,Paddy,262.5
2010-04-18,Paddy,252.5
2010-04-25,Paddy,247.5
2010-05-02,Paddy,247.5
2010-05-09,Paddy,241.25
2010-05-16,Paddy,241.25
2010-05-23,Paddy,241.25
2010-05-30,Paddy,240.0
2010-06-06,Paddy,240.0
2010-06-13,Paddy,242.5
2010-06-20,Paddy,243.75
2010-06-27,Paddy,246.25
2010-07-04,Paddy,251.25
2010-07-11,Paddy,258.75
2010-07-18,Paddy,263.5
2010-07-25,Paddy,263.5
2010-08-01,Paddy,263.5
2010-08-08,Paddy,262.25
2010-08-15,,
2010-08-22,,
2010-08-29,Paddy,228.0
2010-09-05,,
2010-09-12,,
2010-09-19,,
2010-09-26,,
2010-10-03,,
2010-10-10,Paddy,259.5
2010-10-17,Paddy,271.5
2010-10-24,Paddy,276.0
2010-10-31,Paddy,288.5
2010-11-07,Paddy,310.5
2010-11-14,Paddy,318.0
2010-11-21,Paddy,323.0
2010-11-28,Paddy,323.0
2010-12-05,Paddy,322.25
2010-12-12,Paddy,322.25
2010-12-19,Paddy,322.25
2010-12-26,Paddy,322.25
2011-01-02,Paddy,322.25
2011-01-09,Paddy,322.25
2011-01-16,Paddy,333.5
2011-01-23,Paddy,341.5
2011-01-30,Paddy,341.5
2011-02-06,Paddy,341.5
2011-02-13,Paddy,368.75
2011-02-20,Paddy,378.75
2011-02-27,Paddy,400.0
2011-03-06,Paddy,400.0
2011-03-13,Paddy,398.75
2011-03-20,Paddy,398.75
2011-03-27,Paddy,398.75
2011-04-03,Paddy,398.75
2011-04-10,Paddy,396.25
2011-04-17,Paddy,383.75
2011-04-24,Paddy,383.75
2011-05-01,Paddy,383.75
2011-05-08,Paddy,385.0
2011-05-15,Paddy,386.25
2011-05-22,Paddy,382.5
2011-05-29,Paddy,381.25
2011-06-05,Paddy,377.5
2011-06-12,Paddy,368.75
2011-06-19,Paddy,360.0
2011-06-26,Paddy,348.75
2011-07-03,Paddy,337.5
2011-07-10,Paddy,326.25
2011-07-17,Paddy,318.3333333333333
2011-07-24,Paddy,311.6666666666667
2011-07-31,Paddy,311.6666666666667
2011-08-07,Paddy,311.6666666666667
2011-08-14,,
2011-08-21,,
2011-08-28,Paddy,307.5
2011-09-04,Paddy,281.0
2011-09-11,,
2011-09-18,,
2011-09-25,,
2011-10-02,,
2011-10-09,Paddy,283.3333333333333
2011-10-16,Paddy,298.3333333333333
2011-10-23,Paddy,343.75
2011-10-30,Paddy,351.25
2011-11-06,Paddy,351.25
2011-11-13,Paddy,371.6666666666667
2011-11-20,Paddy,351.25
2011-11-27,Paddy,337.5
2011-12-04,Paddy,336.25
2011-12-11,Paddy,330.0
2011-12-18,Paddy,330.0
2011-12-25,Paddy,330.0
2012-01-01,Paddy,326.25
2012-01-08,Paddy,326.25
2012-01-15,Paddy,326.25
2012-01-22,Paddy,326.25
2012-01-29,Paddy,321.25
2012-02-05,Paddy,315.0
2012-02-12,Paddy,313.75
2012-02-19,Paddy,307.5
2012-02-26,Paddy,302.5
2012-03-04,Paddy,297.5
2012-03-11,Paddy,297.5
2012-03-18,Paddy,300.0
